"Public and private key must be set in order to enable faceted search","Public og private key skal være angivet for at slå faceted search til"
"Public or private key invalid","Public eller private key ugyldig"
"You added %1 to your shopping cart.","You tilføjede %1 til din indkøbskurv."
"Invalid keys supplied","Ugyldige keys angivet"
"The supplied public or private key is invalid","Den angivne public eller private key er ugyldig"
"Ensure that the proper keys are set up in the configuration","Ensure that the proper keys are set up in the configuration"
"Clerk.io - Audience Insights","Clerk.io - Audience Insights"
"Clerk.io - Email Insights","Clerk.io - Email Insights"
"Clerk.io Dashboard","Clerk.io Dashboard"
"Clerk.io - Recommendations Insights","Clerk.io - Recommendations Insights"
"Clerk.io - Search Insights","Clerk.io - Search Insights"
Content,Content
"Clerk Content Options","Clerk Content Options"
Product,Product
"Select Product...","Vælg Produkt..."
Category,Kategori
"Select Category...","Vælg Kategori..."
Page,Side
Popup,Popup
Catalog,Catalog
Search,Søg
"Catalog, Search","Catalog, Søg"
"Clerk is not configured for this store. <a href=""%1"">Click here to configure</a>","Clerk er ikke konfigueret for denne store. <a href=""%1"">Klik her for at konfigurere</a>"
"Select a store to view dashboard","Vælg en store for at se dashboard"
Default,Default
Cart,Cart
"Proceed to Checkout","Fortsæt til Checkud"
Filters,Filtre
Categories,Kategorier
Products,Produkter
"Continue to Checkout","Fortsæt til Checkud"
"Continue Shopping","Fortsæt med at shoppe"
Clerk,Clerk
Dashboard,Dashboard
"Search Insights","Search Insights"
"Recommendations Insights","Recommendations Insights"
"Email Insights","Email Insights"
"Audience Insights","Audience Insights"
Configuration,Konfiguration
General,General
Version,Version
"Public Key","Public Key"
"Private Key","Private Key"
Synchronization,Synkronisering
"Use Real-time Updates","Use Real-time Updates"
"Collect Emails","Collect Emails"
"Additional Fields","Additional Fields"
"A comma separated list of additional fields to sync to Clerk.io","A comma separated list of additional fields to sync to Clerk.io"
"Only synchronize saleable products","Only synchronize saleable products"
"Only synchronize product with visibility","Only synchronize product with visibility"
"Disable order synchronization","Disable order synchronization"
"Include CMS Pages","Inkluder CMS Sider"
"Search Settings","Søge Indstillinger"
Enabled,Enabled
"Faceted Search Settings","Faceted Search Settings"
Attributes,Attributter
"Multiselect Attributes","Multiselect Attributes"
Titles,Titles
"Live Search Settings","Live Search Settings"
"Include Categories","Include Categories"
Powerstep,Powerstep
Type,Type
"A comma separated list of clerk content to render","A comma separated list of clerk content to render"
"Exit Intent","Exit Intent"
"Category Settings","Category Settings"
"Product Settings","Product Settings"
"Cart Settings","Cart Settings"
"Clerk Content","Clerk Content"
"Insert Clerk Content","Insert Clerk Content"
Store,Store
Add to Cart,Tilføj til kurv
Continue Shopping,Fortsætte med at handle
Continue to Checkout,Fortsæt til kassen
